season,pos,wiki_title,name,team,espn_id,note
2011,QB,Tom Brady,Tom Brady,New England,2330,
2011,QB,Ben Roethlisberger,Ben Roethlisberger,Pittsburgh,5536,
2011,QB,Philip Rivers,Philip Rivers,San Diego,5529,
2011,QB,Andy Dalton,Andy Dalton,Cincinnati,14012,
2011,RB,Ray Rice,Ray Rice,Baltimore,11289,
2011,RB,Maurice Jones-Drew,Maurice Jones-Drew,Jacksonville,9646,
2011,RB,Arian Foster,Arian Foster,Houston,12497,
2011,RB,Willis McGahee,Willis McGahee,Denver,4481,
2011,RB,Ryan Mathews (American football),Ryan Mathews,San Diego,13204,
2011,WR,Wes Welker,Wes Welker,New England,5941,
2011,WR,Mike Wallace (American football),Mike Wallace,Pittsburgh,12601,
2011,WR,A. J. Green,A. J. Green,Cincinnati,13983,
2011,WR,Brandon Marshall,Brandon Marshall,Miami,9705,
2011,WR,Vincent Jackson,Vincent Jackson,San Diego,8475,
2011,TE,Rob Gronkowski,Rob Gronkowski,New England,13229,
2011,TE,Antonio Gates,Antonio Gates,San Diego,5362,
2011,TE,Jermaine Gresham,Jermaine Gresham,Cincinnati,13228,
2011,QB,Aaron Rodgers,Aaron Rodgers,Green Bay,8439,
2011,QB,Drew Brees,Drew Brees,New Orleans,2580,
2011,QB,Eli Manning,Eli Manning,N.Y. Giants,5526,
2011,QB,Cam Newton,Cam Newton,Carolina,13994,
2011,RB,LeSean McCoy,LeSean McCoy,Philadelphia,12514,
2011,RB,Matt Forte,Matt Forte,Chicago,11278,
2011,RB,Frank Gore,Frank Gore,San Francisco,4429805,
2011,RB,Marshawn Lynch,Marshawn Lynch,Seattle,10456,
2011,WR,Calvin Johnson,Calvin Johnson,Detroit,10447,
2011,WR,Larry Fitzgerald,Larry Fitzgerald,Arizona,5528,
2011,WR,"Steve Smith (wide receiver, born 1979)",Steve Smith,Carolina,2622,
2011,WR,Greg Jennings,Greg Jennings,Green Bay,9638,
2011,WR,Roddy White,Roddy White,Atlanta,8442,
2011,TE,Jimmy Graham,Jimmy Graham,New Orleans,13232,
2011,TE,Tony Gonzalez,Tony Gonzalez,Atlanta,1231,
2012,QB,Peyton Manning,Peyton Manning,Denver,1428,
2012,QB,Tom Brady,Tom Brady,New England,2330,
2012,QB,Matt Schaub,Matt Schaub,Houston,5615,
2012,QB,Andrew Luck,Andrew Luck,Indianapolis,14874,
2012,RB,Arian Foster,Arian Foster,Houston,12497,
2012,RB,Jamaal Charles,Jamaal Charles,Kansas City,11307,
2012,RB,Ray Rice,Ray Rice,Baltimore,11289,
2012,RB,C. J. Spiller,C. J. Spiller,Buffalo,13203,
2012,WR,A. J. Green,A. J. Green,Cincinnati,13983,
2012,WR,Andre Johnson,Andre Johnson,Houston,4461,
2012,WR,Reggie Wayne,Reggie Wayne,Indianapolis,2578,
2012,WR,Wes Welker,Wes Welker,New England,5941,
2012,WR,Demaryius Thomas,Demaryius Thomas,Denver,13216,
2012,TE,Rob Gronkowski,Rob Gronkowski,New England,13229,
2012,TE,Heath Miller,Heath Miller,Pittsburgh,8444,
2012,TE,Jermaine Gresham,Jermaine Gresham,Cincinnati,13228,
2012,TE,Owen Daniels (American football),Owen Daniels,Houston,9684,
2012,QB,Matt Ryan (American football),Matt Ryan,Atlanta,11237,
2012,QB,Robert Griffin III,Robert Griffin III,Washington,14875,
2012,QB,Drew Brees,Drew Brees,New Orleans,2580,
2012,QB,Eli Manning,Eli Manning,N. Y. Giants,5526,
2012,QB,Russell Wilson,Russell Wilson,Seattle,14881,
2012,RB,Adrian Peterson,Adrian Peterson,Minnesota,10452,
2012,RB,Marshawn Lynch,Marshawn Lynch,Seattle,10456,
2012,RB,Frank Gore,Frank Gore,San Francisco,4429805,
2012,RB,Doug Martin (running back),Doug Martin,Tampa Bay,14885,
2012,WR,Calvin Johnson,Calvin Johnson,Detroit,10447,
2012,WR,Brandon Marshall,Brandon Marshall,Chicago,9705,
2012,WR,Julio Jones,Julio Jones,Atlanta,13982,
2012,WR,Victor Cruz (American football),Victor Cruz,N.Y. Giants,13553,
2012,WR,Vincent Jackson,Vincent Jackson,Tampa Bay,8475,
2012,WR,Larry Fitzgerald,Larry Fitzgerald,Arizona,5528,
2012,TE,Tony Gonzalez,Tony Gonzalez,Atlanta,1231,
2012,TE,Jason Witten,Jason Witten,Dallas,4527,
2012,TE,Kyle Rudolph,Kyle Rudolph,Minnesota,14054,
2013,QB,Cam Newton,Cam Newton,Carolina Panthers,13994,
2013,QB,Nick Foles,Nick Foles,Philadelphia Eagles,14877,
2013,QB,Andrew Luck,Andrew Luck,Indianapolis Colts,14874,
2013,RB,Jamaal Charles,Jamaal Charles,Kansas City Chiefs,11307,
2013,RB,Eddie Lacy,Eddie Lacy,Green Bay Packers,15848,
2013,WR,DeSean Jackson,DeSean Jackson,Philadelphia Eagles,11283,
2013,WR,A. J. Green,A. J. Green,Cincinnati Bengals,13983,
2013,WR,Dez Bryant,Dez Bryant,Dallas Cowboys,13215,
2013,TE,Rob Gronkowski,Rob Gronkowski,New England Patriots,13229,
2013,TE,Jason Witten,Jason Witten,Dallas Cowboys,4527,
2013,TE,Jordan Cameron,Jordan Cameron,Cleveland Browns,14189,
2013,QB,Drew Brees,Drew Brees,New Orleans Saints,2580,
2013,QB,Alex Smith,Alex Smith,Kansas City Chiefs,8416,
2013,QB,Philip Rivers,Philip Rivers,San Diego Chargers,5529,
2013,RB,Matt Forte,Matt Forte,Chicago Bears,11278,
2013,RB,LeSean McCoy,LeSean McCoy,Philadelphia Eagles,12514,
2013,RB,DeMarco Murray,DeMarco Murray,Dallas Cowboys,14005,
2013,WR,Larry Fitzgerald,Larry Fitzgerald,Arizona Cardinals,5528,
2013,WR,Josh Gordon,Josh Gordon,Cleveland Browns,15705,
2013,WR,Brandon Marshall,Brandon Marshall,Chicago Bears,9705,
2013,WR,Alshon Jeffery,Alshon Jeffery,Chicago Bears,14912,
2013,TE,Jimmy Graham,Jimmy Graham,New Orleans Saints,13232,
